"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi|Lacbi2|332226|Lacbi1.fgenesh3_pg.C_scaffold_39000094",42.2509096527547,-4.51183870921317,1.22148587064765,-3.69372975785708,0.000220988654733589,0.00527352063130441
"jgi|Lacbi2|314154|Lacbi1.eu2.Lbscf0005g07430",496.512703011737,-0.825082844012141,0.175753119873746,-4.69455588956171,2.67186555663792e-06,0.000137938957997945
"jgi|Lacbi2|689552|fgenesh3_kg.LG_5_#_458_#_Locus_14583_Transcript_2/2_Confidence_1.000",90.2605817456839,0.911895292874824,0.206661134078739,4.41251470403423,1.02176852821218e-05,0.000438732195220686
"jgi|Lacbi2|189031|Lacbi1.estExt_GeneWisePlus_worm.C_50107",1547.10700540207,0.586916975836141,0.129788833688795,4.52209145544398,6.12315912913752e-06,0.000285059913422444
"jgi|Lacbi2|334161|Lacbi1.fgenesh3_pg.C_scaffold_60000009",46.916008831353,1.15515943497182,0.284518713519698,4.06004730121854,4.9062775565604e-05,0.00164801242077072
"jgi|Lacbi2|596678|e_gw1.5.3771.1",170.597026857176,-1.01863623849946,0.291655018485408,-3.49260658633388,0.000478330656804136,0.00945825805436257
"jgi|Lacbi2|689660|fgenesh3_kg.LG_5_#_566_#_Locus_2791_Transcript_3/3_Confidence_0.600",147.005009473016,-2.07801639918582,0.543208790734368,-3.82544692691098,0.000130535055271146,0.00352020144987311
"jgi|Lacbi2|396511|Lacbi1.Eugenev2.0000630052",598.985431923008,-1.82560689118191,0.363419992693624,-5.02340797943102,5.07625521451336e-07,3.44574694041716e-05
"jgi|Lacbi2|314670|Lacbi1.eu2.Lbscf0063g00050",19.2842724295072,-2.03038878450567,0.421556416555839,-4.81641057938143,1.46163620135789e-06,8.58096863699845e-05
"jgi|Lacbi2|308312|Lacbi1.eu2.Lbscf0039g01650",13946.3027510528,-0.561898581493464,0.155354372860119,-3.61688294412797,0.000298172062068498,0.00662671175799804
"jgi|Lacbi2|295390|Lacbi1.estExt_fgenesh2_pg.C_390106",189.662828962315,-0.647094273668087,0.168372340854108,-3.84323381373419,0.000121423686087219,0.00335635305626087
"jgi|Lacbi2|674406|fgenesh2_kg.LG_5_#_161_#_332226",74.9149190893507,-7.02966607912356,1.55525172205113,-4.51995389521417,6.18531000993439e-06,0.000286946479761572
"jgi|Lacbi2|320398|Lacbi1.fgenesh3_pm.C_scaffold_115000001",15.7463581323914,-2.85023842119907,0.774961392173802,-3.67791021589349,0.000235152699206212,0.00554175135536062
"jgi|Lacbi2|689495|fgenesh3_kg.LG_5_#_401_#_Locus_1687_Transcript_4/6_Confidence_0.526",27.1830698936127,-4.28891511666613,0.733238080980621,-5.84928037415925,4.93704288830223e-09,6.06524861499945e-07
"jgi|Lacbi2|596267|e_gw1.5.359.1",46.5109113735057,-1.72131900187445,0.443174135114303,-3.88406918519847,0.000102722656835626,0.0029436808010693
"jgi|Lacbi2|689451|fgenesh3_kg.LG_5_#_357_#_Locus_5388_Transcript_1/1_Confidence_1.000",27.9741834106439,-1.15047657219489,0.3261095000695,-3.52788425958062,0.00041889527377574,0.00856379428729818
"jgi|Lacbi2|705125|estExt_fgenesh3_kg.C_LG_5_t10339",226.38548936245,-2.94710225535031,0.522877593903018,-5.63631390924915,1.7372857685559e-08,1.84402460617597e-06
"jgi|Lacbi2|315269|Lacbi1.eu2.Lbscf0069g00510",6.68332730671952,-2.78668160443892,0.772804775361723,-3.60593217495915,0.000311034374430305,0.00682116376849799
"jgi|Lacbi2|445078|gm1.9522_g",62.3961843131542,-1.2711588837231,0.337125964169653,-3.77057544901352,0.00016287155085266,0.00416373745031425
"jgi|Lacbi2|594368|e_gw1.5.228.1",8.47449022930589,-3.77687651950338,0.806393676325409,-4.68366336491368,2.81792667483547e-06,0.000143800965852757
"jgi|Lacbi2|596686|e_gw1.5.3382.1",19.555669286654,-7.60545437774765,1.74469083952674,-4.35919889383421,1.3053943105565e-05,0.000531287475842443
"jgi|Lacbi2|689410|fgenesh3_kg.LG_5_#_316_#_Locus_3995_Transcript_6/7_Confidence_0.158",43.1986605635783,-1.79041489608149,0.370834369588729,-4.82807162148196,1.37861514852382e-06,8.23939900478111e-05
"jgi|Lacbi2|186182|Lacbi1.estExt_GeneWisePlus_human.C_450016",31.5090272864446,-2.07384486996149,0.471013675041769,-4.40293982924717,1.06793792328197e-05,0.000454147447631574
"jgi|Lacbi2|596557|e_gw1.5.3436.1",6.77485051652224,-4.39751202251816,1.16355444616027,-3.77937795436214,0.000157220629882409,0.00405837221260662
"jgi|Lacbi2|332902|Lacbi1.fgenesh3_pg.C_scaffold_45000065",17.2447144449467,-3.633013845569,0.667512659146444,-5.44261415238862,5.25042928406849e-08,4.90582364373385e-06
"jgi|Lacbi2|239682|Lacbi1.e_gwh1.45.30.1",14.8361420235061,-3.30445947099399,0.825337583554022,-4.00376710916824,6.23417386679766e-05,0.00199794731557177
