"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Potra000001g00001",0.911824188130494,2.96028397200689,2.85161683478166,1.03810720146543,0.299220149101829,NA
"Potra000001g00002",5.12786940481426,1.18071872277468,1.22724110184099,0.962091899467408,0.336003442825128,0.805302780790055
"Potra000002g00003",19.0184389728203,0.620392565093771,0.438721506706099,1.41409198229567,0.157334896950277,0.663936165489772
"Potra000002g00005",0,NA,NA,NA,NA,NA
"Potra000002g00006",72.9842981844357,0.288810192900307,0.334342449563419,0.863815507954293,0.387689247325618,0.83253442612434
"Potra000002g00007",16.0864786374515,-0.0731452570742654,0.584019751850987,-0.125244491889939,0.900329995091005,0.984253803914371
"Potra000002g00008",0,NA,NA,NA,NA,NA
"Potra000002g00009",0,NA,NA,NA,NA,NA
"Potra000002g00010",0,NA,NA,NA,NA,NA
"Potra000002g00011",0,NA,NA,NA,NA,NA
"Potra000002g00012",1231.16914473247,0.400823096439719,0.215848044576163,1.85696885615421,0.0633155851024117,0.509041086749711
"Potra000002g00013",213.457953161487,-0.772157973808301,0.389086159608265,-1.98454238152731,0.0471954083233837,0.457648156217544
"Potra000002g00014",45.245461419392,0.0509202191218787,0.392449743087937,0.129749655895351,0.896764494867813,0.984081089535378
"Potra000002g00015",0.891718243248931,3.68168727098025,3.03338067412381,1.21372411395207,0.224853092896219,NA
"Potra000002g00016",3.6392472307239,1.33394630234224,1.53840926000038,0.867094561262524,0.385890200323117,0.83157616240289
"Potra000002g00017",9.49264674304355,-0.802598284660612,0.864203511587626,-0.928714445034088,0.353037092701074,0.813320875931612
"Potra000002g00018",17.8872354868254,-1.22159118901129,0.721217134869836,-1.69379113438806,0.0903049793695919,0.567067439071599
"Potra000002g31575",0,NA,NA,NA,NA,NA
"Potra000002g31576",0,NA,NA,NA,NA,NA
"Potra000002g31577",0,NA,NA,NA,NA,NA
"Potra000002g31578",0,NA,NA,NA,NA,NA
"Potra000002g31581",0,NA,NA,NA,NA,NA
"Potra000002g31584",0,NA,NA,NA,NA,NA
"Potra000002g35060",8.98492450056186,0.0323591915051545,0.704059032543111,0.0459609066987904,0.963341408896856,0.994263513186778
"Potra000003g00019",129.104596105615,-0.0588865382732924,0.316323194474881,-0.186159406903589,0.852319756058901,0.976727796597156
"Potra000003g00020",38.9335380306854,-0.160087573662748,0.454628166753935,-0.352128586325349,0.724741830823437,0.952421018122233
"Potra000003g00021",0,NA,NA,NA,NA,NA
"Potra000003g00022",7.10825882714821,0.924399711923666,0.854697219688084,1.08155226275455,0.279451526071592,0.770028711781304
"Potra000003g00023",0.836549084282849,2.16044191091612,2.60359076672978,0.829793198886525,0.406655716757827,NA
"Potra000003g00024",74.6413792282716,-0.593818155707258,0.318180105052299,-1.86629568058522,0.062000008791574,0.503342785451408
"Potra000004g00025",0,NA,NA,NA,NA,NA
"Potra000005g00026",36.8484437269122,-0.8645676039687,0.449351338899697,-1.92403477885639,0.054350224232027,0.482323501968514
"Potra000005g00027",7.89326280826248,-2.23662028756186,1.10849660893274,-2.01770602592575,0.0436218868826465,0.444148564932928
"Potra000005g00028",110.388326743479,-0.312675478486509,0.327158203385227,-0.955731738501864,0.339207783204997,0.806997505172061
"Potra000005g34138",0,NA,NA,NA,NA,NA
"Potra000006g00029",10.2266370724073,-0.838000877228959,0.781138882563949,-1.07279370664327,0.28336368510527,0.772746444521645
"Potra000006g00030",28.3824508725971,0.0630295385489434,0.429228947701433,0.14684363411758,0.883255442927658,0.982156596859929
"Potra000006g00031",9.76810756902204,0.539137537913204,0.697600888349087,0.772845257105541,0.439613965772177,0.858667078429586
"Potra000006g00032",65.4872457207766,1.07083441789995,0.447620579654467,2.39228146911066,0.0167439959885705,0.298332002494215
"Potra000006g00033",97.0427660706793,0.456414643422842,0.269234482664421,1.69523100795275,0.0900316068214081,0.566850227233172
"Potra000007g00034",0,NA,NA,NA,NA,NA
"Potra000007g00035",26.6254051208353,-0.494702925700184,0.523058137272737,-0.94578956037201,0.344255931338983,0.809902487559564
"Potra000007g33219",0.818820839016605,3.66361343051579,2.16277975213333,1.69393736320218,0.0902771861187092,NA
"Potra000008g00036",0.455131536668843,1.15129037927166,2.65393105496026,0.433805685012003,0.66442955296772,NA
"Potra000008g00037",0.103866099079435,3.68163198896764,6.37044563709112,0.577923774677834,0.563315583225359,NA
"Potra000008g00038",8.84572380371922,-0.28937636108745,0.74814297409898,-0.386792860597212,0.698909563065668,0.945534690112218
"Potra000008g00039",37.6826632751167,-0.429334894503734,0.408557750160053,-1.0508548530423,0.293325258243617,0.780690218299103
"Potra000008g00040",105.618968415458,-0.243788751960477,0.269669351552064,-0.904028398323231,0.365980343261252,0.82019692157277
"Potra000008g00041",4.45834109357063,0.0826521463040866,1.00931849075092,0.0818890638202762,0.934734931038,0.989336122070015
"Potra000008g00042",77.6604672229578,0.113201650453751,0.456270930836107,0.248101824603007,0.804055623917723,0.969271926026638
"Potra000008g00043",0.036271319563679,2.96032839130722,6.37044563709112,0.464697222133265,0.642148297938207,NA
"Potra000008g00044",32.7427101411436,0.230380459926103,0.476468193828992,0.48351697534041,0.628728709582109,0.92832170599031
"Potra000008g33361",0,NA,NA,NA,NA,NA
"Potra000009g00045",0.320382143479286,0.567484345738816,2.52559123460914,0.224693662997544,0.822217594762438,NA
"Potra000009g00046",28.8775178560692,0.101408842847385,0.491359723785208,0.206384117253604,0.836490876371722,0.974414313355833
"Potra000009g00047",79.6415569314409,4.00161737862654,0.565774819741703,7.07280925024805,1.51828128999137e-12,1.90281427068057e-09
"Potra000009g00048",9.99364225354167,1.59732338698082,0.776450130683145,2.05721310855527,0.0396657311615183,0.427960870099677
"Potra000009g00049",31.8910297757599,-0.0575247074732515,0.42065649805233,-0.136749836837408,0.89122853542631,0.983382723481607
"Potra000009g00050",3.59566938015168,-0.864328956409637,1.26143587275902,-0.685194527185257,0.493221176904704,0.87773162956362
"Potra000009g00051",0.102150549781293,1.52972064494332,6.33897265148517,0.241319962878357,0.809307139881217,NA
"Potra000009g00052",113.573030418313,0.0977017911306784,0.308442515791089,0.316758508080814,0.751426849887238,0.958484413804405
"Potra000009g00053",0.0191074516271055,2.96032838705098,6.37044563709112,0.464697221465142,0.642148298416732,NA
"Potra000009g00054",0.744010714300937,3.68164377915219,2.0294855000234,1.81407739996652,0.06966581042359,NA
"Potra000010g00055",0,NA,NA,NA,NA,NA
"Potra000010g00056",446.313137641891,0.239188106524158,0.297331563034737,0.804449094078228,0.421137657691825,0.848186379747719
"Potra000011g00057",75.2694343588587,1.03946810879413,0.574417631010863,1.80960341862222,0.0703573094126067,0.523886721522276
"Potra000012g00058",115.269642557148,-0.353378125793223,0.270783309897945,-1.30502181218779,0.191885420574131,0.699915701473541
"Potra000012g00059",28.4220396830676,-1.3145892134171,0.550064132359122,-2.38988353554171,0.0168537163152656,0.299131920400528
"Potra000012g00060",3.35650053051114,-0.00682032322251451,1.1991749739365,-0.00568751297412887,0.995462045674066,0.998418240867604
"Potra000012g00061",11.9070718929567,-0.0260300142195189,0.717887423422092,-0.0362591868449745,0.971075692703779,0.994707947837247
"Potra000012g30652",0.0138507764809742,2.96032838962451,6.37044563709112,0.464697221869122,0.642148298127392,NA
"Potra000013g00062",45.486025890905,-0.147457703459752,0.418406655052989,-0.352426763960237,0.724518233166357,0.952386607087401
"Potra000013g00063",0,NA,NA,NA,NA,NA
"Potra000013g00064",0.455352989768394,1.35763717735395,2.86233689515165,0.47431075624032,0.635278322328957,NA
"Potra000013g00065",109.535137898107,0.206832921118676,0.241947523491748,0.854866865895945,0.392624855648823,0.835595930853562
"Potra000013g00066",103.852555197396,0.134224388046352,0.491132765250131,0.273295527285768,0.784626053223082,0.965334909315119
"Potra000013g00067",221.884389425971,0.417667499021246,0.376305607586283,1.10991569246142,0.267035357679956,0.762378017095007
"Potra000013g00068",22.464215553081,-0.28816092715867,0.599753611482064,-0.480465513907602,0.630896419350013,0.928513898265785
"Potra000014g00069",33.3203622550629,-0.173315789140969,0.440027684773566,-0.393874738200064,0.693673521904247,0.943299710948589
"Potra000014g00070",1.44256913822603,1.66469053977466,1.59773984391745,1.04190337751925,0.297456478063974,0.78280055279957
"Potra000014g00071",81.4287548699148,0.0907508212204525,0.257064308681063,0.353027698345499,0.724067675471645,0.952386607087401
"Potra000014g00072",36.3193951053225,-0.295319972263488,0.382152658020213,-0.772780107806727,0.439652527892933,0.858667078429586
"Potra000014g00073",23.9802226860601,0.23294823424415,0.447699285998564,0.520322996996912,0.602838469932397,0.918918599200221
"Potra000014g00074",0,NA,NA,NA,NA,NA
"Potra000014g00075",306.109609225371,-1.46615774161031,0.87264384013671,-1.68013303271656,0.0929314351705868,0.570700620379988
"Potra000015g00076",1.66756017483926,-0.692964155628155,1.29697192044815,-0.534293876916557,0.593138227872824,0.918324761298734
"Potra000015g00077",37.1234003071764,-0.626596443785686,0.434680010098329,-1.44151198405453,0.149440094153122,0.653013033572434
"Potra000015g00078",0.149707165001845,3.68167101715476,6.37044563709112,0.577929901123195,0.563311446834484,NA
"Potra000016g00079",0.0823119823752258,3.68163198674387,6.37044563709112,0.577923774328758,0.563315583461045,NA
