"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi|Lacbi2|332226|Lacbi1.fgenesh3_pg.C_scaffold_39000094",42.2509096527547,-4.73176107593668,1.17885970120005,-4.01384581313607,5.97373765688441e-05,0.00265110357393456
"jgi|Lacbi2|314154|Lacbi1.eu2.Lbscf0005g07430",496.512703011737,0.648602690662093,0.17223671216735,3.7657633062102,0.000166041035194932,0.00593596700821881
"jgi|Lacbi2|396511|Lacbi1.Eugenev2.0000630052",598.985431923008,-1.63524690393555,0.367489517650883,-4.44977836208391,8.59589519181658e-06,0.00060951015581688
"jgi|Lacbi2|674406|fgenesh2_kg.LG_5_#_161_#_332226",74.9149190893507,-5.0916801907771,1.28521818474801,-3.96172436026917,7.44104145511775e-05,0.00319220678424551
"jgi|Lacbi2|320398|Lacbi1.fgenesh3_pm.C_scaffold_115000001",15.7463581323914,-4.38466061348899,0.848217314070084,-5.16926563600741,2.35015651485632e-07,3.31973937946106e-05
"jgi|Lacbi2|689495|fgenesh3_kg.LG_5_#_401_#_Locus_1687_Transcript_4/6_Confidence_0.526",27.1830698936127,-3.67275205510709,0.780821148025005,-4.70370463760732,2.55482773391757e-06,0.000234861663825137
"jgi|Lacbi2|596267|e_gw1.5.359.1",46.5109113735057,-1.87406839238395,0.456584427785207,-4.10453856579089,4.05122687379489e-05,0.00200205475000567
"jgi|Lacbi2|689451|fgenesh3_kg.LG_5_#_357_#_Locus_5388_Transcript_1/1_Confidence_1.000",27.9741834106439,-1.32145463366665,0.359348285897102,-3.67736451105556,0.000235656174193299,0.00779887275908852
"jgi|Lacbi2|705125|estExt_fgenesh3_kg.C_LG_5_t10339",226.38548936245,-2.01521283664697,0.516950681056426,-3.89826904285867,9.68827424708959e-05,0.00389650279875135
"jgi|Lacbi2|596686|e_gw1.5.3382.1",19.555669286654,-7.23616005468477,1.73898870674836,-4.16113113708211,3.16675167267954e-05,0.00169034491357821
"jgi|Lacbi2|689410|fgenesh3_kg.LG_5_#_316_#_Locus_3995_Transcript_6/7_Confidence_0.158",43.1986605635783,-1.4982063998137,0.396422540472813,-3.77931688250316,0.000157259192434817,0.00567936497331674
