"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Potra000001g00001",0.911824188130494,4.08501985553376,2.93327022534913,1.3926503668947,0.163725544294649,NA
"Potra000001g00002",5.12786940481426,-0.476173257327645,1.19592892421477,-0.398161836950549,0.690510894997612,NA
"Potra000002g00003",19.0184389728203,-0.534505282430148,0.428392461681687,-1.24770001865091,0.212140934476751,0.615634019886264
"Potra000002g00005",0,NA,NA,NA,NA,NA
"Potra000002g00006",72.9842981844357,-0.178401279396858,0.301406877562405,-0.591895184475082,0.553920778655259,0.837806631150956
"Potra000002g00007",16.0864786374515,0.0712426100800943,0.464260631028157,0.153453912131898,0.878040332551584,0.966256492339303
"Potra000002g00008",0,NA,NA,NA,NA,NA
"Potra000002g00009",0,NA,NA,NA,NA,NA
"Potra000002g00010",0,NA,NA,NA,NA,NA
"Potra000002g00011",0,NA,NA,NA,NA,NA
"Potra000002g00012",1231.16914473247,0.221622563294727,0.229124391441348,0.967258709998402,0.333414719245189,0.714312800736108
"Potra000002g00013",213.457953161487,-0.372956000755385,0.40608468488686,-0.918419272224697,0.358399404849084,0.730067726488839
"Potra000002g00014",45.245461419392,-0.427912855095831,0.380654077768052,-1.1241515068087,0.26094875767368,0.660008537299743
"Potra000002g00015",0.891718243248931,0.810986372307832,3.22398369949093,0.251547913358212,0.801390523213444,NA
"Potra000002g00016",3.6392472307239,-1.54247690189261,1.35770594683849,-1.13609055442703,0.255918667745016,NA
"Potra000002g00017",9.49264674304355,-0.959874717034321,0.665507915423311,-1.44231900896892,0.14921240005169,0.54982997539804
"Potra000002g00018",17.8872354868254,-1.10612218766722,0.579342950528454,-1.90927012516206,0.0562272541199109,0.385569859009838
"Potra000002g31575",0,NA,NA,NA,NA,NA
"Potra000002g31576",0,NA,NA,NA,NA,NA
"Potra000002g31577",0,NA,NA,NA,NA,NA
"Potra000002g31578",0,NA,NA,NA,NA,NA
"Potra000002g31581",0,NA,NA,NA,NA,NA
"Potra000002g31584",0,NA,NA,NA,NA,NA
"Potra000002g35060",8.98492450056186,0.167348121221006,0.681424580453687,0.245585683318889,0.806002972939669,0.941519264337176
"Potra000003g00019",129.104596105615,1.11138366981489,0.294394560708053,3.77515014931621,0.000159911312454463,0.0224393197564778
"Potra000003g00020",38.9335380306854,0.311833020839735,0.42502591759504,0.733680013219444,0.463143782586256,0.791177647362952
"Potra000003g00021",0,NA,NA,NA,NA,NA
"Potra000003g00022",7.10825882714821,0.995089563454128,0.738528969958886,1.34739408192684,0.177853345603601,0.581121377645725
"Potra000003g00023",0.836549084282849,2.00960820465545,2.49658436011746,0.80494304008253,0.420852550000907,NA
"Potra000003g00024",74.6413792282716,-0.12437847546884,0.256828013490764,-0.484287028421505,0.628182180509687,0.875919751751815
"Potra000004g00025",0,NA,NA,NA,NA,NA
"Potra000005g00026",36.8484437269122,0.197676347410321,0.342592892067041,0.577000725898419,0.563938965155114,0.843707464158254
"Potra000005g00027",7.89326280826248,0.0908745276854574,0.649144212429952,0.139991277662764,0.888666881941414,0.969325490110307
"Potra000005g00028",110.388326743479,-0.29507126133196,0.311540232602123,-0.947136935950112,0.343569005551344,0.720859273613626
"Potra000005g34138",0,NA,NA,NA,NA,NA
"Potra000006g00029",10.2266370724073,1.18467723659162,0.637754808519016,1.85757476190993,0.0632294252901519,0.404515706415441
"Potra000006g00030",28.3824508725971,0.197521224982592,0.37751149895499,0.523219095390102,0.600821794499621,0.863260883755262
"Potra000006g00031",9.76810756902204,-1.23012523784799,0.64584778749636,-1.90466741802521,0.056823316868325,0.386848184680943
"Potra000006g00032",65.4872457207766,1.6899674768514,0.452441379898128,3.73521864253864,0.000187552165846355,0.0245153803630948
"Potra000006g00033",97.0427660706793,0.0335881549953166,0.242951359376299,0.138250533281821,0.890042418717098,0.970165618437078
"Potra000007g00034",0,NA,NA,NA,NA,NA
"Potra000007g00035",26.6254051208353,-0.886542254192506,0.465936944311094,-1.90270864977941,0.0570785726506302,0.387016714861553
"Potra000007g33219",0.818820839016605,1.86126859227277,2.38036736852358,0.781924931792028,0.434258691823359,NA
"Potra000008g00036",0.455131536668843,-0.395049912492518,2.93976311603861,-0.134381546029075,0.89310087340636,NA
"Potra000008g00037",0.103866099079435,-0.213111370245064,6.85492736410276,-0.0310887860549866,0.975198732779915,NA
"Potra000008g00038",8.84572380371922,0.878190396145179,0.642052653089206,1.36778563552352,0.171379185297674,0.574595989497682
"Potra000008g00039",37.6826632751167,-0.483396653245967,0.363011538588722,-1.33162889291416,0.182982165754259,0.58758735508233
"Potra000008g00040",105.618968415458,-0.500827903398849,0.225844562476034,-2.21757786819418,0.0265836282992233,0.293045589706908
"Potra000008g00041",4.45834109357063,-1.58819745088911,0.939681234711936,-1.69014490469843,0.0910002357989518,NA
"Potra000008g00042",77.6604672229578,0.227090914907819,0.471222977394622,0.481918169957242,0.629864077951774,0.876057390282619
"Potra000008g00043",0.036271319563679,1.8613319572426,6.8808311516193,0.270509756194869,0.786768112258485,NA
"Potra000008g00044",32.7427101411436,-0.572107584199684,0.455293315656165,-1.25656925881981,0.208909652157283,0.611383499734639
"Potra000008g33361",0,NA,NA,NA,NA,NA
"Potra000009g00045",0.320382143479286,-0.754873040594101,2.7748587223805,-0.272040170732192,0.78559113189786,NA
"Potra000009g00046",28.8775178560692,-0.476184877491202,0.434090163703716,-1.09697228204465,0.272653508983257,0.667605794898189
"Potra000009g00047",79.6415569314409,2.93257502847366,0.573402103426112,5.11434299063667,3.14834835459568e-07,0.000361397192723083
"Potra000009g00048",9.99364225354167,0.668385329545095,0.670585741003676,0.996718672461946,0.318901083587278,0.702640430342924
"Potra000009g00049",31.8910297757599,-0.346282660568531,0.341425848836808,-1.0142250850317,0.310475361466098,0.696410787830208
"Potra000009g00050",3.59566938015168,0.846937132565252,0.868743792120535,0.974898629776617,0.329610545872556,NA
"Potra000009g00051",0.102150549781293,1.86133194745261,6.8808311516193,0.270509754772077,0.786768113352924,NA
"Potra000009g00052",113.573030418313,0.149922480913353,0.30257508710747,0.495488516078994,0.620255326353467,0.872815152772172
"Potra000009g00053",0.0191074516271055,1.86133195242549,6.8808311516193,0.270509755494792,0.786768112796997,NA
"Potra000009g00054",0.744010714300937,-0.0473934682648291,1.8281034797686,-0.0259249373951349,0.979317209564031,NA
"Potra000010g00055",0,NA,NA,NA,NA,NA
"Potra000010g00056",446.313137641891,-0.217569394861702,0.311912207968344,-0.697534079473359,0.485468619535861,0.802197791935062
"Potra000011g00057",75.2694343588587,-1.07794535914173,0.602013998195121,-1.79056527318881,0.0733630839203064,0.427327700726464
"Potra000012g00058",115.269642557148,0.243808145797672,0.219146324749615,1.11253586422786,0.265907818856941,0.661962588892442
"Potra000012g00059",28.4220396830676,-0.373618229724901,0.38008006516963,-0.982998752008092,0.325608052877955,0.708734431950452
"Potra000012g00060",3.35650053051114,-0.530847485009333,1.06770769209893,-0.497184284554305,0.619059102673091,NA
"Potra000012g00061",11.9070718929567,-0.783242436979224,0.624806653629449,-1.25357569806505,0.20999626890264,0.613434684790753
"Potra000012g30652",0.0138507764809742,1.86133195532894,6.8808311516193,0.270509755916755,0.786768112472416,NA
"Potra000013g00062",45.486025890905,-0.341848458973357,0.317191781082683,-1.07773428998227,0.281152351262517,0.674612164401187
"Potra000013g00063",0,NA,NA,NA,NA,NA
"Potra000013g00064",0.455352989768394,-0.000197553572188375,2.96221459347423,-6.66911751172874e-05,0.999946788141072,NA
